sentiment,category
0.6597,control
0.7906,control
0.9059,control
0.7263,control
0.0,control
-0.34,control
-0.4404,control
0.8834,control
0.7777,control
0.8439,control
-0.7717,control
0.8709,control
0.9941,control
0.765,control
0.765,control
0.8563,control
0.4466,control
0.4019,control
0.0,control
-0.4215,control
0.0,control
0.0,control
0.0,control
0.0,control
0.5719,control
0.0,control
0.0,control
0.8555,control
0.8555,control
0.128,control
0.128,control
0.8555,control
0.8555,control
-0.2023,control
-0.2023,control
0.0,control
0.1043,control
0.1043,control
0.0,control
0.0,control
0.0,control
0.4404,control
0.4019,control
0.8555,control
0.8555,control
0.8555,control
0.8555,control
-0.4767,control
-0.4767,control
0.4927,control
0.0,control
0.0,control
0.0,control
0.3612,control
0.3612,control
0.69,control
0.8091,control
0.6908,control
0.6908,control
-0.2444,control
0.6124,control
0.0,control
0.5849,control
0.6369,control
0.6369,control
0.6369,control
0.6369,control
-0.3164,control
0.0,control
0.0,control
0.9944,control
0.4927,control
0.9577,control
0.2023,control
0.2023,control
0.0,control
0.2023,control
-0.25,control
,control
0.953,control
0.9906,control
0.9906,control
0.8828,control
0.9948,control
-0.9986,control
-0.9992,control
-0.8981,control
0.7494,control
0.7494,control
0.4404,control
0.4404,control
0.5106,control
0.7901,control
0.7494,control
0.7494,control
0.4404,control
0.2263,control
0.4404,control
0.8622,control
0.4404,control
0.4404,control
0.4404,control
0.4404,control
0.4404,control
0.4404,control
0.0,control
0.0,control
0.7003,control
0.7269,control
,control
0.6696,control
0.4927,control
0.4404,control
0.0,control
0.0,control
0.4404,control
0.4404,control
0.7269,control
0.4404,control
0.802,control
0.4404,control
0.4404,control
0.885,control
0.885,control
0.6369,control
-0.296,control
-0.296,control
-0.296,control
0.34,control
0.4404,control
0.0,control
0.6808,control
0.6808,control
0.3612,control
0.4019,control
0.4404,control
-0.296,control
-0.296,control
-0.296,control
0.9412,government
0.6808,government
-0.6908,government
-0.6908,government
-0.6908,government
-0.4404,government
-0.4404,government
-0.4404,government
-0.4588,government
-0.2023,government
-0.2023,government
-0.3818,government
0.0,government
-0.3818,government
-0.3818,government
-0.3818,government
-0.1531,government
-0.3818,government
-0.3818,government
0.3818,government
0.0,government
-0.296,government
-0.296,government
-0.296,government
-0.7351,government
-0.7351,government
-0.8126,government
0.0,government
0.0772,government
0.0772,government
-0.3818,government
-0.3818,government
-0.34,government
-0.3818,government
-0.3818,government
0.0,government
0.3612,government
0.2263,government
-0.5255,government
-0.34,government
0.5106,government
0.5106,government
0.5106,government
0.0,government
-0.3818,government
0.5106,government
0.5106,government
0.0,government
0.0,government
0.2263,government
-0.6908,government
-0.93,government
-0.93,government
0.25,government
0.0,government
0.5849,government
0.25,government
0.5849,government
-0.3818,government
-0.3818,government
-0.3818,government
-0.2263,government
-0.3818,government
