"PostId","PostUrl","PostEngagement","Platform","ChannelID","ChannelName","ChannelUid","ChannelUrl","ChannelEngagement","post_body_text","GoogleAudioText","VoskAudioText","EmbeddedContentText","published_at","post_data","post_media_urls","LikesCount","SharesCount","CommentsCount","ViewsCount","post_media_file","embedded_post_text","search_data","sentiment"
"458661712","https://www.youtube.com/watch?v=mecIIha_BIk","","YouTube","2853188","Farm Monitor","blank_for_now","blank_for_now","{""follower_count"":29200,""following_count"":0,""like_count"":5130,""post_count"":3304,""views_count"":12203764,""comment_count"":1,""share_count"":0}","In response to rising egg prices and ongoing bird flu outbreaks, the USDA has announced a $1 billion plan to combat Highly Pathogenic Avian Influenza (HPAI). The initiative has gained strong support from key agricultural organizations, including the Georgia Department of Agriculture and the American Egg Board.

🦠 USDA’s Action Plan – Focused on strengthening biosecurity, increasing egg production, and stabilizing prices.
📢 Georgia Agriculture Commissioner Speaks Out – Tyler Harper supports the initiative, emphasizing its impact on Georgia consumers.
🥚 American Egg Board Response – Egg farmers back the USDA’s decisive action and pledge their support.

As the situation unfolds, we’ll continue to bring you the latest updates. Subscribe for more agricultural news!

🔔 #FarmMonitor #EggPrices #USDA #BirdFlu #AgricultureNews #Farming #Biosecurity #AvianInfluenza"," ","no longer populated","","2025-03-14T10:57:20.000Z","post data removed","https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCUGFISURjPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--0fd7a720271b672a1b9cbfa347abc28b08f4c246/post-2853188-458661712-thumbnail","6.0","0.0","0.0","106.0","","","","0.9412"
"458681633","https://www.instagram.com/p/DHLUnXlJa3q/","","InstagramDirect","27205848","Bethany Ballard","blank_for_now","blank_for_now","{""follower_count"":346,""following_count"":70,""like_count"":1000,""post_count"":494,""views_count"":355,""comment_count"":25,""share_count"":0}","The Georgia Department of Agriculture was established in 1874, and it supports the state’s number one industry. It is the oldest state department of agriculture in the United States. 

H/t House Budget and Research Office"," ","no longer populated","","2025-03-14T10:46:15.000Z","post data removed","","1.0","0.0","0.0","0.0","","","","0.6808"
"456736042","https://twitter.com/AUG_Chronicle/status/1899505671004934601","","Twitter","6887643","Augusta Chronicle","blank_for_now","blank_for_now","{""follower_count"":62798,""following_count"":8143,""like_count"":10490,""post_count"":99604,""views_count"":57705003,""comment_count"":2513,""share_count"":2432}","Georgia Department of Agriculture says residents should start watching out for yellow-legged hornets. Are these murder hornets? What to watch for. https://t.co/yLlgjlMX45"," ","no longer populated","","2025-03-11T17:00:17.000Z","post data removed","","0.0","0.0","0.0","140.0","","","","-0.6908"
"456562393","https://www.facebook.com/savannahnow/posts/pfbid02Q1JrLBCBufxLjDvXbtp2W5tdaKuxg1DJEwuKznJcL8HScNF29G6uhDKySzAx7Ya3l","","Facebook","17964257","Savannah Morning News & SavannahNow.com","blank_for_now","blank_for_now","{""follower_count"":88096,""following_count"":0,""like_count"":363,""post_count"":21,""views_count"":0,""comment_count"":225,""share_count"":115}","Georgia Department of Agriculture says residents should start watching out for yellow-legged hornets. Are these murder hornets? What to watch for."," ","no longer populated","","2025-03-11T11:12:09.000Z","post data removed","https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCQm5ONURZPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--229879230b1f410203989132aacf65fc0fd4d9c5/post-17964257-456562393-thumbnail","6.0","6.0","0.0","0.0","","","","-0.6908"
"456544787","https://twitter.com/SavannahNow/status/1899392415674347892","","Twitter","8100729","Savannah Now","blank_for_now","blank_for_now","{""follower_count"":58587,""following_count"":858,""like_count"":15749,""post_count"":192073,""views_count"":44694192,""comment_count"":4434,""share_count"":4923}","Georgia Department of Agriculture says residents should start watching out for yellow-legged hornets. Are these murder hornets? What to watch for. https://t.co/QIe9Prgr3h"," ","no longer populated","","2025-03-11T09:30:15.000Z","post data removed","","0.0","0.0","0.0","195.0","","","","-0.6908"
"436053342","https://www.facebook.com/TheAugustaChronicle/posts/pfbid02rrJUkP4XHhgmKmZa8AgxeuTedRB9oSfsJunym3QM5X8y4V9y359waAeN44XAsAHVl","","Facebook","16547583","The Augusta Chronicle","blank_for_now","blank_for_now","{""follower_count"":142170,""following_count"":0,""like_count"":78,""post_count"":12,""views_count"":0,""comment_count"":15,""share_count"":16}","Georgia Department of Agriculture has lifted its suspension on various poultry sales. It was imposed after three cases of bird flu were confirmed."," ","no longer populated","","2025-02-12T23:00:30.000Z","post data removed","https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCR0RrcERRPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c76221d43c803f3c2025bde6fe375f977512233e/post-16547583-436053342-thumbnail","0.0","0.0","0.0","0.0","","","","-0.4404"
"436118887","https://twitter.com/AUG_Chronicle/status/1889804245357982101","","Twitter","6887643","Augusta Chronicle","blank_for_now","blank_for_now","{""follower_count"":62558,""following_count"":8158,""like_count"":9241,""post_count"":98706,""views_count"":56410347,""comment_count"":null,""share_count"":null}","Georgia Department of Agriculture has lifted its suspension on various poultry sales. It was imposed after three cases of bird flu were confirmed. https://t.co/nn2guFRaW8"," ","no longer populated","","2025-02-12T22:30:17.000Z","post data removed","","0.0","0.0","0.0","218.0","","","","-0.4404"
"436058239","https://twitter.com/SavannahNow/status/1889796705807131108","","Twitter","8100729","Savannah Now","blank_for_now","blank_for_now","{""follower_count"":58320,""following_count"":859,""like_count"":15455,""post_count"":191153,""views_count"":44479750,""comment_count"":4398,""share_count"":4860}","Georgia Department of Agriculture has lifted its suspension on various poultry sales. It was imposed after three cases of bird flu were confirmed. https://t.co/b2r6pHzXe0"," ","no longer populated","","2025-02-12T22:00:20.000Z","post data removed","","0.0","0.0","0.0","162.0","","","","-0.4404"
"435339346","https://www.threads.net/t/DF8oC4OoIRc","","Threads","18321733","CNN","blank_for_now","blank_for_now","{""follower_count"":4154474,""following_count"":0,""like_count"":2228004,""post_count"":15589,""views_count"":0,""comment_count"":215299,""share_count"":0}","The Georgia Department of Agriculture has lifted the suspension of poultry activities in Georgia, one of the country’s top poultry-producing states, after bird flu testing, depopulation, cleaning and disinfecting were done in the area and no new cases were found. https://cnn.it/4jRx1vr"," ","no longer populated","","2025-02-11T21:16:05.000Z","post data removed","","23.0","0.0","0.0","0.0","","","","-0.4588"
"435377762","https://www.facebook.com/Local3News/posts/pfbid0NNwHPpyT17mfeWD1fWmmiWw3UTGVxNmFbqkJkvnoykkb2QAgjVdRj5yzDaQdjm3hl","","Facebook","18493785","Local 3 News","blank_for_now","blank_for_now","{""follower_count"":402597,""following_count"":0,""like_count"":902,""post_count"":36,""views_count"":0,""comment_count"":245,""share_count"":917}","BACK TO BUSINESS: The Georgia Department of Agriculture has lifted the suspension of poultry activities in one of the country’s top poultry-producing states, after measures were taken to address bird flu."," ","no longer populated","","2025-02-11T19:33:03.000Z","post data removed","https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCQkRCa1RRPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--60b8cb3ea49329eccde97ea74c65bd296df1e60e/post-18493785-435377762-thumbnail","22.0","12.0","0.0","0.0","","","","-0.2023"
