PostId,PostUrl,PostEngagement,Platform,ChannelID,ChannelName,ChannelUid,ChannelUrl,ChannelEngagement,post_body_text,GoogleAudioText,VoskAudioText,EmbeddedContentText,published_at,post_data,post_media_urls,LikesCount,SharesCount,CommentsCount,ViewsCount,post_media_file,embedded_post_text,search_data
75155468,https://twitter.com/onlineathens/status/1588531562655543298,,Twitter,8100840,Athens Banner-Herald,blank_for_now,blank_for_now,"{""follower_count"":31747,""following_count"":1334,""like_count"":848,""post_count"":79659,""views_count"":0,""comment_count"":87,""share_count"":428}","Kroger recently donated a $15,000 check to the Food Bank of Northeast Georgia to help the organization kick off this year's Hunger Bowl fundraiser. https://t.co/YMeANxDmFV", ,no longer populated,,2022-11-04T14:00:12.000Z,post data removed,https://www.junkipedia.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCT1Vmd0FNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--902639ab0362ce45e062073a1c5d828cd513ada7/post-8100840-75155468-thumbnail,0.0,0.0,0.0,0.0,,,
409731415,https://www.instagram.com/reel/DEr3BDNxxEB/,,InstagramDirect,29017393,V-103 The People's Station,blank_for_now,blank_for_now,"{""follower_count"":234218,""following_count"":903,""like_count"":79922,""post_count"":55030,""views_count"":749823,""comment_count"":4608,""share_count"":0}",Tap in with Tori @theradiodiva on some stores that are opened today: *Most Publix in the metro Atlanta and Northeast Georgia *Kroger *Walmart *whole foods *Some restaurants will attempt to open today but will have limited hours. If you know of any places open please tag them in the comments 💛, ,no longer populated,,2025-01-11T12:37:06.000Z,post data removed,,10.0,0.0,0.0,887.0,,,
375172034,https://www.facebook.com/SpartanburgCountyGovernment/posts/pfbid0ymGmyHWLTrvk2aN3U4pDropuc974kamhX7X5rMcNAc5AzTHf3QWTGwf21nibHUNcl,,Facebook,29683837,Spartanburg County,blank_for_now,blank_for_now,"{""follower_count"":11000,""following_count"":null,""like_count"":10945,""post_count"":null,""views_count"":null,""comment_count"":null,""share_count"":null}","***UPDATE: ALL SHELTER LOCATIONS NOW OPEN:

*NEW - Bethlehem Baptist Church
797 Old Georgia Road
Moore, SC 29369 

Landrum First Baptist
300 E. Rutherford Street #1628
Landrum, SC 29356

Campobello First Baptist
255 S. Main Street 
Campobello, SC 29322

Spartanburg Memorial Auditorium 
385 N. Church Street 
Spartanburg, SC 29303

Medical Needs Shelter (on USC Upstate's campus)
365 Hodge Drive
Spartanburg, SC 29303

All shelters have food, water, places to sleep and the ability to charge your devices.

-----------------

POD LOCATIONS: 

*NEW - 1050 Cavalier Way, Roebuck (Dorman High School)

- 1875 E. Main Street, Duncan (SCC's Tyger River Campus)

- 9070 Hwy 11, Campobello

-----------------

FREE MEALS: 

Spartanburg School District 1 will be serving free meals at Landrum High School and Mabry Middle School on 10/3, from 11:30 a.m. - 1:30 p.m.

Spartanburg School District 6 will be serving free meals at Fairforest Elementary School, Arcadia Elementary School, Woodland Heights Elementary School, and West View Elementary School on 10/3 and 10/4, from 11:00 a.m. - 1:00 p.m.

-----------------

HOT SHOWERS:

Lyman First Baptist (80 Groce Road, Lyman) will be open for showers again (10/3) from 6:15 a.m. - 5:00 p.m. All they ask is that folks please bring their own towels and soap. 

Spartanburg School District 1 will also be offering hot showers at Landrum High School, from 10:00 a.m. - 2:00 p.m. today. They just ask that you bring your own towel and toiletries.

-----------------

UPDATE - Spartanburg County now has an emergency call center. This Urgent Unmet Needs Line is available for residents who cannot get out of their yard or cannot get their critical medications. The number is (864) 860-1644.

------------------

SPREAD THE WORD - We will be distributing bottled waters and MREs at the following two locations until 11:00 p.m. today, then open daily from 8:00 a.m. - 8:00 p.m. until further notice:
• 1875 E. Main Street, Duncan (SCC's Tyger River Campus)
• 9070 Hwy 11, Campobello 

***UPDATE: The 9070 Hwy 11 Point of Distribution is CLOSED currently due to resupply. We hope to open again soon. The POD in Duncan still has food available.

------------------

Additionally, we have compiled a list of other resources for your use. We will attempt to update as we learn more.

SHELTERS:
• Medical Needs Shelter - 365 Hodge Drive, Spartanburg (on USC Upstate's campus)
• General Population Shelter - Spartanburg Memorial Auditorium, 385 N. Church Street, Spartanburg

SHOWERS:
• Lyman First Baptist (80 Groce Road, Lyman) will be open for showers 10/2, from 6:15 a.m. - 5:00 p.m. All they ask is that folks please bring their own towels and soap. 

• Spartanburg School District 1 will also be offering hot showers at Landrum High School, from 10:00 a.m. - 2:00 p.m. on 10/2. They also ask that you bring your own towel and toiletries. 

PHARMACIES:
• ReGenesis Family Pharmacy - 460 Langdon St., Spartanburg
    Phone: (864) 285 - 9867
    Open Hours: 9:00am - 6:00pm
• ReGenesis Community Family Pharmacy - E. Main St., Duncan
    Phone: (864) 416 - 7933
    Open Hours: 9:00am - 7:00pm
• ReGenesis Community Family Pharmacy - S. Church St., Spartanburg
    Phone: (864) 699 - 3283
    Open Hours: 10:30am - 6:00pm

• Walgreens, N. Pine Street, Spartanburg, pharmacy hours: open from 10 a.m. - 7 p.m. today, 11 a.m - 6 p.m. Sunday
• Walgreens, E. Main Street, Spartanburg 
• Walgreens, Reidville Road, Spartanburg
• CVS, Reidville Road, Spartanburg 

• Dial a Ride: 1-800-277-7762 or 864-560-4118

GROCERY STORES:
• Publix on E. Main Street, Spartanburg, open from 7 a.m. - 9 p.m.
• Fresh Market on E. Main Street, Spartanburg, open from 8 a.m. - 9 p.m.
• Walmart on E. Main Street, Spartanburg
• Walmart Neighborhood Market in Cedar Springs
• Costco, W. Blackstock Rd, Spartanburg, open till 6 p.m.
• Sam's Club, west side of Spartanburg
• Publix on Hwy 9 in Boiling Springs, pharmacy hours: open from 9 a.m. - 7 p.m., 11 a.m. - 6 p.m. Sunday
• Target on Hwy 9 in Boiling Springs
• Big Lots, N. Pine St, Spartanburg, open from 9 a.m. - 9 p.m.
• Lidl, E. Main Street, Spartanburg, open from 8 a.m. - 9 p.m.
• Lowes Foods, E. Suber Road Greer, open from 6 a.m. - 11 p.m.
• Publix in Duncan (Hwy 290 and 296)
• Food Lion in Woodruff 
• Food Lion in Inman 
• KJ's in Lyman 
• Aldi, E. Main Street, Spartanburg 
• Food Lion, Reidville Road, Spartanburg 

GAS STATIONS:
• Club Corner on Hwy 56 near Carolina Country Club Road, Spartanburg
• White's Exxon on S. Pine Street, Spartanburg
• Valero on New Cut Road, Spartanburg
• Swift on Fairforest Road (near Business 85), Spartanburg
• Circle K on E. Main Street, Spartanburg
• Circle K at Asheville Hwy and Springfield Road, Spartanburg
• QuikTrip in Boiling Springs (near Target)
• QuickTrip in Boiling Springs (at I-85 exit)
• Raceway in Boiling Springs (at I-85 exit)
• QuikTrip, Spartangreen Blvd, Duncan, open 24 hours
• Spinx, Boiling Springs Road, Spartanburg, open 24 hours
• Hot Spot, E. Henry Street, Spartanburg 
• QuikTrip, Asheville Hwy, Spartanburg  

Freeman Gas at California Avenue & Howard Street - filling up propane tanks

ICE:
• Harman Brothers Ice at 646 Buffington Road, Spartanburg
• Whitney Road Ice House, 367 Whitney Road, Spartanburg, at Spartanburg Community Thrift Store
• Boiling Springs Ice House, 3515 Boiling Springs Road at Cantrell Plaza

RESTAURANTS:
• Gerhard's Cafe on E. Main Street in Spartanburg
• Green Olive on Asheville Hwy, Spartanburg
• Chick-fil-a on Asheville Hwy (near Hearon Circle), Spartanburg
• Applebee's on E. Main Street, Spartanburg
• Fuji's on E. Main Street, Spartanburg
• Tropical Grill on E. Main Street, Spartanburg
• Taco Dog on E. Main Street, Spartanburg
• Chipotle on E. Main Street, Spartanburg
• Cookout on E. Main Street, Spartanburg, open from 10:30 a.m. - 3:30 a.m.
• Jersey Mike's on E. Main Street, Spartanburg, open from 10 a.m. - 9 p.m.
• Sully's Steamers, N Church Street, Spartanburg, open from 7 a.m. - midnight
• Subway, N. Pine St, Spartanburg, open from 8 a.m. - 9:30 p.m.
• Knowledge Perk Coffee Company, N. Church Street, Spartanburg, open 6 a.m. -7 p.m.
• El Chingon Mexican Restaurant Bar & Grill, Battleground Road, Cowpens, open 11 a.m. - 9 p.m.
• Saki Sushi and Hibachi, E. Main Street, Spartanburg, open from 11 a.m - 10 p.m., closes at 9:30 p.m. on Sunday.
• Zaxbys, E. Main Street, Spartanburg, open from 10 a.m. - 10 p.m.
• Hardee’s, E. Main Street, Spartanburg, open from 5 a.m. - 9 p.m., opens at 6 a.m. on Sunday.
• Moe’s Original BBQ, N. Church Street, Spartanburg, open 11 a.m. - 8:30 p.m., 11 a.m. - 9 p.m. Saturday, 11 a.m. - 8 p.m. Sunday, closed Monday.
• El Chinchorro Boricua, E. Main Street, Spartanburg, open 11 a.m. - 8 p.m., closed Monday.
• Eat Street Grill, Dawn Redwood Drive, Spartanburg, open 11 a.m. - 9 p.m., closed Sunday and Monday.
• Arby's, S. Pine Street, Spartanburg 
• Sugar & Spice, S. Pine Street, Spartanburg 
• Tropical Smoothie on W. O. Ezell Boulevard, Spartanburg 
• Tropical Smoothie on East Main Street in Spartanburg 
• Copper River Grill in Boiling Springs  
• Fratello's on Fernwood Glendale Road, Spartanburg
• Wade's on N. Pine Street, Spartanburg

FOOD TRUCKS:
• Denny's - E. Broad Street, Spartanburg

Feel free to share more you know of in the comments below.", ,no longer populated,,2024-09-30T20:18:00.000Z,post data removed,,,,0.0,0.0,,,
237066221,https://www.facebook.com/100064380325443/posts/877820941040575,,Facebook,23821126,Univision Miami,blank_for_now,blank_for_now,"{""follower_count"":1407980,""following_count"":0,""like_count"":716,""post_count"":38,""views_count"":0,""comment_count"":87,""share_count"":67}","La compañía Hormel Foods está retirando del mercado algunos de los maníes de la marca Planters, que fueron vendidos en supermercados Publix de Florida, Georgia, Alabama y Carolina del Norte, por posible contaminación con Listeria. La retirada del mercado es de algunos de los maníes endulzados con miel y las nueces mixtas.", ,no longer populated,,2024-05-06T20:10:25.000Z,post data removed,,4.0,0.0,0.0,0.0,,,
229503249,https://twitter.com/Univision23/status/1787575384931713251,,Twitter,10183886,Univision 23 Miami,blank_for_now,blank_for_now,"{""follower_count"":61000,""following_count"":1505,""like_count"":9816,""post_count"":109591,""views_count"":2566458,""comment_count"":1355,""share_count"":4795}","Retiran del mercado maníes marca Planters vendidos en Publix del sur de Florida
https://t.co/OM0uFgAV4Q", ,no longer populated,,2024-05-06T20:09:17.000Z,post data removed,,0.0,0.0,0.0,251.0,,,
247757962,https://www.facebook.com/100064532870474/posts/821911119969976,,Facebook,17295885,WTVC-TV NewsChannel 9 News,blank_for_now,blank_for_now,"{""follower_count"":428463,""following_count"":0,""like_count"":1736,""post_count"":20,""views_count"":0,""comment_count"":722,""share_count"":450}","RECALL ALERT: Certain Planters nuts sold at Publix & Dollar Tree stores in Georgia, North Carolina & Alabama have been recalled over the discovery of a potentially fatal contamination. HELP SPREAD THE WORD: ", ,no longer populated,,2024-05-06T12:45:02.000Z,post data removed,,5.0,28.0,0.0,0.0,,,
234855920,https://www.facebook.com/100063566711809/posts/940101411452074,,Facebook,23822591,FOX Chattanooga,blank_for_now,blank_for_now,"{""follower_count"":20020,""following_count"":0,""like_count"":9,""post_count"":9,""views_count"":0,""comment_count"":1,""share_count"":1}","RECALL ALERT: Certain Planters nuts sold at Publix & Dollar Tree stores in Georgia, North Carolina & Alabama have been recalled over the discovery of a potentially fatal contamination. HELP SPREAD THE WORD: ", ,no longer populated,,2024-05-06T12:45:02.000Z,post data removed,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSmtveVI0PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--467c3a0755932fd291d4edd721445b906ce6ff98/post-23822591-234855920-thumbnail,0.0,0.0,0.0,0.0,,,
214276429,https://www.facebook.com/100050233936016/posts/1062669068750881,,Facebook,18072773,Jax Daily Record,blank_for_now,blank_for_now,"{""follower_count"":31760,""following_count"":0,""like_count"":169,""post_count"":5,""views_count"":0,""comment_count"":85,""share_count"":45}",, ,no longer populated,,2024-04-03T20:04:36.000Z,post data removed,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCQkdNOHhzPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--841e84dfdfd7b2c3ea6d265252ad8c83c89a5e29/post-18072773-214276429-thumbnail,32.0,5.0,3.0,0.0,,,
179984250,https://www.facebook.com/100064731819017/posts/768404401993947,,Facebook,17345146,WCTV.tv,blank_for_now,blank_for_now,"{""follower_count"":207818,""following_count"":0,""like_count"":948,""post_count"":39,""views_count"":0,""comment_count"":142,""share_count"":350}","The two recalled spinach items were distributed to retailers in seven states, including Alabama, Florida, Georgia, North Carolina, South Carolina, Tennessee and Virginia.", ,no longer populated,,2023-12-18T19:18:35.000Z,post data removed,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCQTJERVJZPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--3a5574f1c0c416cf1a56c7c3decbe4d7830d8a3c/post-17345146-179984250-thumbnail,10.0,7.0,4.0,0.0,,,
162104148,https://www.facebook.com/100064151586685/posts/711952277619819,,Facebook,17660069,95.1 WAPE Jacksonville's #1 Hit Music Station,blank_for_now,blank_for_now,"{""follower_count"":77074,""following_count"":0,""like_count"":15430,""post_count"":344,""views_count"":0,""comment_count"":6553,""share_count"":2004}",TOMORROW! Join us from 6am-6pm at Publix Windsor Commons on Hodges by JTB! Run up your teams score for the Florida vs Georgia Food Drive!, ,no longer populated,,2023-10-19T16:05:00.000Z,post data removed,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSFhKOWhJPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--50d12413acc91ded0602ec8721eb22a328f6707f/post-17660069-162104148-thumbnail,1.0,0.0,0.0,0.0,,,
